PPE;Nr licznika;Kod OT;Taryfa;Energia;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Korekty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4011004952;87719097;0;C22B;ECP;4;2018-06-01;2018-06-30;4573,49;4577,33;307;0;0;80;1;Z;F;R
ENID_4011004952;87719097;0;C22B;ECP;5;2018-06-01;2018-06-30;1782,26;1784,52;181;0;0;80;1;Z;F;R
ENID_4011004953;87719099;0;C22B;ECP;4;2018-06-01;2018-06-30;1,29;1,29;0;0;0;20;1;Z;F;R
ENID_4011004953;87719099;0;C22B;ECP;5;2018-06-01;2018-06-30;0;0;0;0;0;20;1;Z;F;R
ENID_4081037147;97612692;0;C22B;ECP;4;2018-06-01;2018-06-30;53087;53777,16;41409;0;0;60;1;Z;F;R
ENID_4081037147;97612692;0;C22B;ECP;5;2018-06-01;2018-06-30;11608,81;11868,89;15605;0;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;ECP;4;2018-06-01;2018-06-30;7303,56;7372,91;4161;0;0;60;1;Z;F;R
ENID_4081037148;97612697;0;C22B;ECP;5;2018-06-01;2018-06-30;1460,31;1483,98;1420;0;0;60;1;Z;F;R
ENID_4081037149;97612690;0;C22B;ECP;4;2018-06-01;2018-06-30;38915,09;39472,62;11151;0;0;20;1;Z;F;R
ENID_4081037149;97612690;0;C22B;ECP;5;2018-06-01;2018-06-30;7736,6;7898,73;3243;0;0;20;1;Z;F;R
ENID_4081037157;97612700;0;C22B;ECP;4;2018-06-01;2018-06-30;23907,08;24198,48;17484;0;0;60;1;Z;F;R
ENID_4081037157;97612700;0;C22B;ECP;5;2018-06-01;2018-06-30;4602,43;4697,2;5686;0;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;ECP;4;2018-06-01;2018-06-30;16691,8;16911,32;13171;0;0;60;1;Z;F;R
ENID_4081037158;97612701;0;C22B;ECP;5;2018-06-01;2018-06-30;3275,8;3357,15;4881;0;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;ECP;4;2018-06-01;2018-06-30;19888,75;20089,73;12059;0;0;60;1;Z;F;R
ENID_4081037159;97612702;0;C22B;ECP;5;2018-06-01;2018-06-30;5704,29;5823,53;7154;0;0;60;1;Z;F;R
